topic,word,weight
0,java,0.05187173511852874
0,python,0.024903228616038924
0,design,0.021879334606936657
0,iphone,0.02082149946433781
0,subjective,0.019220740952685618
1,php,0.13190887760392686
1,mysql,0.05374565899688291
1,sql,0.0168378671711468
1,query,0.016344830865931043
1,framework,0.01593671133279203
2,html,0.04865187452918278
2,css,0.04107652975696409
2,regex,0.02628512350226712
2,javascript,0.0235021729712339
2,java,0.02286002492704934
3,javascript,0.05222452406976265
3,jquery,0.03997480929728677
3,web,0.032558665362306144
3,practices,0.026586401200956306
3,best,0.026478769003073888
4,net,0.1688890783214337
4,asp,0.08245358899607984
4,programming,0.04257852287812969
4,sqlserver,0.03074386932855775
4,sql,0.029631664251114267
